,NHS_NUMBER,DATE_OF_BIRTH,FIRST_NAME,LAST_NAME,HOUSEHOLD,AGE,PRACTICE_CODE,PRACTICE_NAME,DISTANCE_FROM_PRACTICE,ESTABLISHMENT_TYPE,EDUCATIONAL_ESTABLISHMENT_UPN,EDUCATIONAL_ESTABLISHMENT_NAME,UNI_COURSE_CODE,UNI_COURSE_TITLE,LAT,LON,MARITAL_STATUS_CODE,MARITAL_STATUS,GENERAL_HEALTH_CODE,GENERAL_HEALTH,OCCUPATION_CODE,OCCUPATION,SEX_CODE,SEX,HOURS_WORKED_CODE,HOURS_WORKED,ECONOMICACTIVITY_CODE,ECONOMICACTIVITY,HOUSEHOLD_TYPE_CODE,HOUSEHOLD_TYPE,ADDRESS_1,ADDRESS_2,ADDRESS_3,ADDRESS_4,ADDRESS_5,ADDRESS_6,YEARS_AT_ADDRESS,POSTCODE,POSTCODE_NO_SPACE,LOCAL_AUTHORITY_CODE,LOCAL_AUTHORITY,LSOA_CODE,ETHNICITY,CANCER,DIABETES,COPD,ASTHMA,HYPERTENSION,MORBILITIES,ICB22NM,ICB22CD,PCN,MULTIPLE_MOBILITIES,BODY_WEIGHT
0,0055984819,1976-05-21,Mary,Skerrett,H20263425,49,P92030,DR SEABROOK,277.6142092498904,,,,,,53.5518268,-2.62835086,1,Single,5,Very Good,6,Administrative and secretarial occupations,2,Female,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,Asian,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
1,0027281573,1925-05-21,Rhonda,Friedman,H20263651,100,P92030,DR SEABROOK,254.2987869215947,,,,,,53.55203151,-2.62878634,3,Divorced or formerly in a same-sex civil partnership which is now legally dissolved,3,Fair,9,Sales and customer service occupations,2,Female,2,>75 years old,2,=>75,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,Black,,,,,1,1,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Overweight
2,0028985199,1986-05-21,Gary,Montalvo,H20263613,39,P92030,DR SEABROOK,258.7512075657194,,,,,,53.55190995,-2.62866739,3,Divorced or formerly in a same-sex civil partnership which is now legally dissolved,5,Very Good,3,"Managers, directors and senior officials",1,Male,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,Asian,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
3,0019386361,1964-05-21,Anne,Scott,H20263478,61,P92030,DR SEABROOK,260.4388652044502,,,,,,53.5517818,-2.62860213,3,Divorced or formerly in a same-sex civil partnership which is now legally dissolved,5,Very Good,6,Administrative and secretarial occupations,2,Female,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Underweight
4,0042539555,1993-05-21,Susan,Eldridge,H20263665,32,P92030,DR SEABROOK,219.5165238032479,,,,,,53.55182039,-2.62924268,1,Single,4, Good,5,Associate professional and technical occupations,2,Female,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
5,0050414633,1952-05-21,William,Niebuhr,H20263472,73,P92030,DR SEABROOK,228.2951989422604,,,,,,53.55199182,-2.62917639,3,Divorced or formerly in a same-sex civil partnership which is now legally dissolved,4, Good,7,Skilled trades occupations,1,Male,5,16-74 years old who do not fall into these categories,9,Economically inactive -  retired,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,Black,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
6,0028219522,1994-05-21,Shawn,Weishaar,H20263707,31,P92030,DR SEABROOK,286.6281425059186,,,,,,53.55197893,-2.62826073,1,Single,4, Good,6,Administrative and secretarial occupations,1,Male,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
7,0009442550,2009-05-21,Rodney,White,H20263482,16,P92030,DR SEABROOK,233.76254863744967,,,,,,53.55168789,-2.62898784,1,Single,5,Very Good,10,"Process, plant and machine operatives",1,Male,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,Black,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
8,0031525666,1996-05-21,Frank,Burchard,H20263554,29,P92030,DR SEABROOK,226.93048024461442,,,,,,53.55197628,-2.62919047,1,Single,5,Very Good,3,"Managers, directors and senior officials",1,Male,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Overweight
9,0052992565,2009-05-21,Donna,Gentry,H20263864,16,P92030,DR SEABROOK,266.47155345307044,,,,,,53.55188737,-2.62854039,1,Single,3,Fair,10,"Process, plant and machine operatives",2,Female,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Underweight
10,0024756033,1992-05-21,Raymond,Laliberte,H20263665,33,P92030,DR SEABROOK,219.5165238032479,,,,,,53.55182039,-2.62924268,1,Single,4, Good,6,Administrative and secretarial occupations,1,Male,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,Black,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Overweight
11,0018055463,2006-05-21,Michael,Ackerman,H20263916,19,P92030,DR SEABROOK,241.84904050850858,,,,,,53.5519284,-2.62893654,1,Single,5,Very Good,5,Associate professional and technical occupations,1,Male,7,16-30 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Underweight
12,0035014398,1956-05-21,Elmer,Brooks,H20263461,69,P92030,DR SEABROOK,240.79257175040198,,,,,,53.55165972,-2.6288752,4, Married or in a same sex civil partnership,4, Good,7,Skilled trades occupations,1,Male,5,16-74 years old who do not fall into these categories,9,Economically inactive -  retired,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,Black,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
13,0050886520,1975-05-21,Ernest,Smothers,H20263707,50,P92030,DR SEABROOK,286.6281425059186,,,,,,53.55197893,-2.62826073,4, Married or in a same sex civil partnership,4, Good,7,Skilled trades occupations,1,Male,3,31-48 hours per week,5,Economically active -  self employed,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Underweight
14,0026244119,1975-05-21,Michael,Rhodes,H20263529,50,P92030,DR SEABROOK,236.85894792242374,,,,,,53.5520084,-2.62904955,3,Divorced or formerly in a same-sex civil partnership which is now legally dissolved,2,Bad,4,Professional occupations,1,Male,5,16-74 years old who do not fall into these categories,10,Economically inactive -  long-term sick or disabled,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,1,1,,,2,NHS Greater Manchester Integrated Care Board,E54000057,U42152,1,Overweight
15,0008073304,2001-05-21,Fran,Leal,H20263864,24,P92030,DR SEABROOK,266.47155345307044,,,,,,53.55188737,-2.62854039,1,Single,5,Very Good,11,Elementary occupations,2,Female,3,31-48 hours per week,3,Economically active - employee,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
16,0023068360,1968-05-21,Danielle,Pellegrin,H20263665,57,P92030,DR SEABROOK,219.5165238032479,,,,,,53.55182039,-2.62924268,3,Divorced or formerly in a same-sex civil partnership which is now legally dissolved,4, Good,6,Administrative and secretarial occupations,2,Female,5,16-74 years old who do not fall into these categories,9,Economically inactive -  retired,9,Complex other,51A,GRAYSONS CLOSE,WIGAN,WIGAN,WIGAN,GREATER MANCHESTER,19,WN1 2AN,WN12AN,E08000010,Wigan District (B),E01006370,White,,,,,,0,NHS Greater Manchester Integrated Care Board,E54000057,U42152,0,Idealweight
